,user_id,country
0,22106879,CA
1,80549046,CA
2,11828431,CA
3,70395042,CA
4,58160628,CA
5,51664350,CA
6,21937982,CA
7,41918078,CA
8,84801697,CA
9,5009669,CA
10,129743582,CA
11,112110770,CA
12,41864935,CA
13,4213258,CA
14,17295672,CA
15,54886546,CA
16,17957823,CA
17,27709782,CA
18,10381707,CA
19,5349403,CA
20,5903843,CA
21,31382574,CA
22,118578359,CA
23,9246169,CA
24,3789615,CA
25,4003368,CA
26,116959721,CA
27,81432722,CA
28,53084164,CA
29,133056070,CA
30,10841164,CA
31,13273757,CA
32,52957386,CA
33,75966379,CA
34,35434974,CA
35,19736308,CA
36,82987361,CA
37,102263362,CA
38,10014356,CA
39,16907451,CA
40,15546696,CA
41,91997499,CA
42,105925108,CA
43,67640442,CA
44,144843715,CA
45,34613428,CA
46,16668577,CA
47,30178291,CA
48,27523984,CA
49,6753400,CA
50,104689262,CA
51,5877123,CA
52,32054036,CA
53,4729639,CA
54,15662887,CA
55,40417676,CA
56,5997380,CA
57,6536286,CA
58,70983025,CA
59,31134832,CA
60,47221787,CA
61,137309747,CA
62,28854579,CA
63,130771547,CA
64,92722442,CA
65,147730453,CA
66,91763754,CA
67,22699228,CA
68,86110759,CA
69,5604583,CA
70,1022982,CA
71,93273793,CA
72,23234551,CA
73,70076027,CA
74,1418580,CA
75,149310219,CA
76,9827967,CA
77,4834343,CA
78,6270825,CA
79,6608800,CA
80,1484029,CA
81,117279800,CA
82,82141954,CA
83,58891395,CA
84,5873473,CA
85,18944510,CA
86,126455118,CA
87,14773738,CA
88,49267198,CA
89,49148508,CA
90,92586127,CA
91,149015270,CA
92,64902189,CA
93,146761949,CA
94,36349961,CA
95,31027440,CA
96,1393336,CA
97,99766625,CA
129,28365883,CA
151,69445513,CA
166,4448531,CA
171,40078791,CA
172,68929803,CA
173,114646068,CA
174,70726259,CA
184,4934590,CA
185,7135572,CA
187,152660246,CA
189,31221125,CA
191,7074816,CA
192,1849990,CA
193,18656418,CA
195,13904332,CA
215,121512515,CA
226,5160409,CA
249,129237774,CA
255,70652463,CA
259,44158677,CA
262,12733434,CA
264,692133,CA
268,17074498,CA
269,105650209,CA
271,36183077,CA
273,138214273,CA
274,35915119,CA
278,24627290,CA
288,12859342,CA
291,19829414,CA
301,39243185,CA
302,3643764,CA
304,41400192,CA
306,7234171,CA
307,6049062,CA
313,67920559,CA
315,4800103,CA
316,2990642,CA
317,18424676,CA
318,3908840,CA
319,5859453,CA
324,6168268,CA
325,25897549,CA
328,10905711,CA
329,2798257,CA
330,1416912,CA
331,5789353,CA
332,32295170,CA
333,5742086,CA
335,37437502,CA
337,1188122,CA
338,17243568,CA
339,37439004,CA
340,24770184,CA
341,39215947,CA
343,10697179,CA
345,24626621,CA
348,3214163,CA
349,3255548,CA
350,3069494,CA
351,35431290,CA
352,10376232,CA
353,4975636,CA
354,1843184,CA
355,17747245,CA
358,63164992,CA
360,3972045,CA
361,28146945,CA
362,67824881,CA
363,67405281,CA
364,6275022,CA
365,3161105,CA
369,3099666,CA
370,47129377,CA
371,1262683,CA
372,29160274,CA
373,15477771,CA
374,39389378,CA
375,3956348,CA
377,33394531,CA
378,14451126,CA
379,39132239,CA
380,15180278,CA
382,2567068,CA
385,29334580,CA
386,53701594,US
387,32879029,US
388,124132123,US
389,48727754,US
390,49815208,US
391,57797254,US
392,6431467,US
393,2190064,US
394,48328025,US
395,151231754,US
396,597461,US
397,8338960,US
398,30181442,US
399,721595,US
400,28082207,US
401,3672777,US
402,154417108,US
403,27304766,US
404,36538861,US
405,27544898,US
406,30978160,US
407,3030788,US
408,11701608,US
409,11626803,US
410,11284813,US
411,4125660,US
412,58774673,US
413,1526851,US
414,47207032,US
415,140957517,US
416,79855460,US
417,8114361,US
418,45147300,US
419,39749481,US
420,11345366,US
421,16912659,US
422,114413220,US
423,1151637,US
424,4844580,US
425,90175549,US
426,148600677,US
427,1232712,US
428,6743601,US
429,43342511,US
430,103311536,US
431,52545435,US
432,132767190,US
433,11183856,US
434,51318038,US
435,37448930,US
436,3639005,US
437,7365405,US
438,63328133,US
439,269235,US
440,9472704,US
441,25388909,US
442,32340179,US
443,59173659,US
444,73768036,US
445,4685500,US
446,128343378,US
447,4995826,US
448,105191338,US
449,131996358,US
450,10717098,US
451,33853154,US
452,38077205,US
453,29919991,US
454,4171908,US
455,2922102,US
456,14514998,US
457,45618,US
458,17438949,US
459,3660666,US
460,30803272,US
461,148474304,US
462,53067896,US
463,23385697,US
464,104791668,US
465,9711335,US
466,1381728,US
467,131558848,US
468,7494963,US
469,38008315,US
470,13699205,US
471,2250020,US
472,34183387,US
473,2592990,US
474,70046142,US
475,75906549,US
476,109681904,US
477,47208326,US
478,5463364,US
479,26741582,US
480,151211428,US
481,16219087,US
482,111921,US
483,2172096,US
484,15335689,US
530,1239026,US
532,108004301,US
535,1323413,US
564,142435229,US
572,25375513,US
574,75009563,US
577,12338667,US
578,13070326,US
580,106692,US
582,5253785,US
607,96556777,US
619,7362767,US
627,43787758,US
637,3675162,US
640,84831721,US
651,3920693,US
656,52710209,US
661,16254355,US
664,13005524,US
665,56322887,US
668,23179211,US
670,44279580,US
673,5157918,US
674,5293536,US
676,23954351,US
678,7202176,US
679,71848701,US
681,4876540,US
686,4527753,US
687,4159922,US
688,3427339,US
691,1720620,US
692,922495,US
694,83582,US
696,16384209,US
697,5210022,US
700,1053760,US
701,870755,US
702,8734459,US
704,9916227,US
705,28967089,US
707,405390,US
710,5872506,US
711,5498948,US
712,2745288,US
714,14302918,US
715,1413439,US
716,131922,US
717,30604861,US
720,10915830,US
724,18085807,US
725,36817401,US
726,2933855,US
728,9684061,US
731,7668522,US
734,9303625,US
735,16731747,US
736,4514828,US
737,1036893,US
738,1964146,US
739,38946743,US
740,32532051,US
741,14457130,US
742,4642710,US
745,25894509,US
746,10336538,US
747,18104163,US
749,279256,US
751,4100763,US
757,17755575,US
759,3977017,US
760,43377498,US
762,68030,US
764,10367112,US
765,2294090,US
767,25353295,US
768,44673856,US
769,14105531,US
770,25683251,US
771,12618229,US
773,237469,US
774,4379514,US
775,11757728,US
776,1570669,US
778,1113032,US
1174,8655084,AU
1175,35794399,AU
1176,7566229,AU
1177,2337007,AU
1178,175635,AU
1179,33887077,AU
1180,11889829,AU
1181,19559507,AU
1182,1128612,AU
1183,33018840,AU
1184,18643650,AU
1185,140919522,AU
1186,8542123,AU
1187,62555501,AU
1188,5067228,AU
1189,18989854,AU
1190,29592778,AU
1191,104533985,AU
1192,5022264,AU
1193,88713906,AU
1194,75817674,AU
1195,45154248,AU
1196,122873411,AU
1197,7706640,AU
1198,2120137,AU
1199,3270188,AU
1200,6658001,AU
1201,158491676,AU
1202,27567325,AU
1203,45394380,AU
1204,25379212,AU
1205,105116518,AU
1206,29843800,AU
1207,24831615,AU
1208,113008174,AU
1209,119009405,AU
1210,107042319,AU
1211,94609512,AU
1212,6852430,AU
1213,283014,AU
1214,18388375,AU
1215,89801878,AU
1216,32080420,AU
1217,35251024,AU
1218,9185509,AU
1219,15907994,AU
1220,20658145,AU
1221,9582364,AU
1222,6677659,AU
1223,18876665,AU
1224,63258978,AU
1225,30728719,AU
1226,86920464,AU
1227,140031131,AU
1228,10168276,AU
1229,48050946,AU
1230,30337728,AU
1231,5045966,AU
1232,38628504,AU
1233,85505643,AU
1234,10350463,AU
1235,32429909,AU
1236,395599,AU
1237,153086326,AU
1238,1607230,AU
1239,82515006,AU
1240,16323644,AU
1241,37475550,AU
1242,31036873,AU
1243,15962370,AU
1244,48477217,AU
1245,13876530,AU
1246,35666212,AU
1247,5841724,AU
1248,64752900,AU
1249,7791017,AU
1250,86968405,AU
1251,381149,AU
1252,135248827,AU
1253,10160675,AU
1254,63545231,AU
1255,87479094,AU
1256,17290119,AU
1257,2349199,AU
